"code_module","code_presentation","id_student","id_site","date","sum_click"
"AAA","2013J",321942,546614,-2,6
"AAA","2013J",321942,546652,-2,7
"AAA","2013J",321942,546652,-2,4
"AAA","2013J",324002,546883,-2,1
"AAA","2013J",324002,546876,-2,1
"AAA","2013J",324002,546681,-2,4
"AAA","2013J",324002,546614,-2,3
"AAA","2013J",300398,546669,-2,15
"AAA","2013J",300398,546662,-2,1
"AAA","2013J",300398,546871,-2,1
"AAA","2013J",300398,546681,-2,2
"AAA","2013J",300398,546879,-2,7
"AAA","2013J",300398,546614,-2,10
"AAA","2013J",300398,546719,-2,3
"AAA","2013J",300398,546731,-2,20
"AAA","2013J",300398,546732,-2,4
"AAA","2013J",300398,546667,-2,7
"AAA","2013J",298696,546652,-2,2
"AAA","2013J",298696,546614,-2,5
"AAA","2013J",298696,546652,-2,3
"AAA","2013J",298696,546719,-2,9
"AAA","2013J",296332,546652,-2,6
"AAA","2013J",296332,546961,-2,1
"AAA","2013J",296332,546652,-2,6
"AAA","2013J",296332,546681,-2,2
"AAA","2013J",296332,546614,-2,6
"AAA","2013J",296332,546660,-2,1
"AAA","2013J",296332,546662,-2,31
"AAA","2013J",296332,546883,-2,1
"AAA","2013J",296332,546876,-2,1
"AAA","2013J",296332,547011,-2,1
"AAA","2013J",296332,546871,-2,2
"AAA","2013J",312537,546652,-2,11
"AAA","2013J",312537,546719,-2,7
"AAA","2013J",312537,546614,-2,10
"AAA","2013J",312537,546652,-2,8
"AAA","2013J",287548,546614,-2,4
"AAA","2013J",287548,546662,-2,36
"AAA","2013J",287548,546667,-2,3
"AAA","2013J",287548,546879,-2,1
"AAA","2013J",282821,546948,-2,1
"AAA","2013J",282821,546883,-2,1
"AAA","2013J",282821,546876,-2,2
"AAA","2013J",282821,546911,-2,1
"AAA","2013J",282821,546874,-2,1
"AAA","2013J",282821,547011,-2,1
"AAA","2013J",282821,546871,-2,4
"AAA","2013J",282821,546982,-2,2
"AAA","2013J",282821,546719,-2,13
"AAA","2013J",282821,546689,-2,1
"AAA","2013J",282821,546681,-2,9
"AAA","2013J",282821,546614,-2,4
"AAA","2013J",282821,546660,-2,1
"AAA","2013J",282821,546662,-2,1
"AAA","2013J",291334,546652,-2,2
"AAA","2013J",291334,546652,-2,1
"AAA","2013J",291334,546614,-2,1
